output	ASV	DFP.024	DFP.025	DFP.026	DFP.027	DFP.028	DFP.029	DFP.030	DFP.031	DFP.032	DFP.000	DFP.001	DFP.002	DFP.003	DFP.004	DFP.005	DFP.006	DFP.007	DFP.008	DFP.009	DFP.010	DFP.011	DFP.012	DFP.013	DFP.014	DFP.015	DFP.016	DFP.017	DFP.018	DFP.019	DFP.020	DFP.021	DFP.022	DFP.023
17	Root (96.5%); Eukaryota (96.5%); Amorphea (96.5%); Obazoa (96.5%); Opisthokonta (96.5%); Nucletmycea (96.5%); Fungi (96.5%); Dikarya (96.5%); Ascomycota (96.5%); Pezizomycotina (96.5%); Sordariomycetes (96.5%); Xylariales (94.7%); unclassified_Xylariales (94.7%)	ASV1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0
18	Root (81.1%); Eukaryota (81.1%); Amorphea (80.5%); Obazoa (79.7%); Opisthokonta (79.7%); Nucletmycea (77.6%); Fungi (76.7%); unclassified_Fungi (76.7%)	ASV1015	40	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	Root (95.8%); Eukaryota (95.8%); Archaeplastida (95.8%); Chloroplastida (95.8%); Charophyta (95.8%); Phragmoplastophyta (95.8%); unclassified_Phragmoplastophyta (95.8%)	ASV1016	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
20	Root (97.5%); Eukaryota (97.5%); Amorphea (97.5%); Amoebozoa (97.5%); Gracilipodida (97.5%); Flamella (97.5%)	ASV1017	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0
21	Root (98.4%); Eukaryota (98.4%); Amorphea (97.5%); Obazoa (97.5%); Opisthokonta (97.5%); Nucletmycea (97.5%); Fungi (97.5%); Dikarya (97.5%); Basidiomycota (96.7%); Agaricomycotina (95.9%); Agaricomycetes (95%); Agaricales (63.5%); unclassified_Agaricales (63.5%)	ASV1018	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	Root (97.5%); Eukaryota (97.5%); SAR (97.5%); Rhizaria (97.5%); Cercozoa (97.5%); Glissomonadida (97.5%); Heteromita (96.1%)	ASV1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0
23	Root (42.2%); unclassified_Root (42.2%)	ASV102	4	0	0	167	4	0	24	136	85	0	0	0	0	45	5	6	16	56	0	378	27	0	308	216	1456	82	0	951	208	1899	1305	354	110
24	Root (94.6%); Eukaryota (94.6%); Archaeplastida (94.6%); Chloroplastida (94.6%); Charophyta (94.6%); Phragmoplastophyta (93.7%); unclassified_Phragmoplastophyta (93.7%)	ASV1020	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	Root (60.6%); Eukaryota (60.6%); unclassified_Eukaryota (60.6%)	ASV1021	0	0	0	0	0	0	0	0	0	0	7	6	3	13	4	0	0	11	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
26	Root (58.2%); unclassified_Root (58.2%)	ASV1022	0	0	0	0	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	33
27	Root (100%); Eukaryota (100%); Amorphea (100%); Obazoa (100%); Opisthokonta (100%); Nucletmycea (100%); Fungi (100%); Dikarya (100%); Ascomycota (100%); Pezizomycotina (100%); Sordariomycetes (100%); Xylariales (99.2%); Diatrypaceae (62.6%); unclassified_Diatrypaceae (62.6%)	ASV1023	0	0	0	0	0	0	0	0	0	0	0	21	11	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	Root (77.5%); Eukaryota (77.5%); Archaeplastida (77%); Chloroplastida (77%); Chlorophyta (76.3%); unclassified_Chlorophyta (76.3%)	ASV1024	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	Root (100%); Eukaryota (100%); Amorphea (100%); Obazoa (100%); Opisthokonta (100%); Nucletmycea (100%); Fungi (100%); Dikarya (100%); Ascomycota (100%); Pezizomycotina (100%); Sordariomycetes (100%); Hypocreales (98%); unclassified_Hypocreales (98%)	ASV1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
